#,Keyword,Source,Post Title,Post Link,Phone,Email,Price,Location,Scraped At
31,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-olaya-51795115.html,,,,,2026-07-13 16:55:46
32,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-olaya-51795115.html,,,,,2026-07-13 16:55:46
33,i need job,PROPERTYFINDER,Nuzul R293 – Furnished Apartment for Rent,,,,"120,000 SAR",Riyadh,2026-07-13 16:55:46
34,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Al Gha,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,"110,000 SAR",Riyadh,2026-07-13 16:55:46
35,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Al Gha,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,"110,000 SAR",Riyadh,2026-07-13 16:55:46
36,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Al Gha,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,"110,000 SAR",Riyadh,2026-07-13 16:55:46
37,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,17,,2026-07-13 16:55:46
38,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,17,,2026-07-13 16:55:46
39,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,,,2026-07-13 16:55:46
40,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,,,2026-07-13 16:55:46
41,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,,,2026-07-13 16:55:46
42,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-al-ghadir-51795095.html,,,,,2026-07-13 16:55:46
43,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Al Gha,,,,"110,000 SAR",Riyadh,2026-07-13 16:55:46
44,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Qurtub,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,"98,000 SAR",Riyadh,2026-07-13 16:55:46
45,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Qurtub,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,"98,000 SAR",Riyadh,2026-07-13 16:55:46
46,i need job,PROPERTYFINDER,Fully Furnished Apartment for Annual Rent – Qurtub,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,"98,000 SAR",Riyadh,2026-07-13 16:55:46
47,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,19,,2026-07-13 16:55:46
48,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,19,,2026-07-13 16:55:46
49,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,,,2026-07-13 16:55:46
50,i need job,PROPERTYFINDER,,https://www.propertyfinder.sa/en/plp/rent/apartment-for-rent-ar-riyadh-riyadh-qurtubah-51795086.html,,,,,2026-07-13 16:55:46
51,i need job,EXPATRIATES,"expatriates.com
                    The online community for expatriates",,,,,,2026-07-13 16:56:11
52,i need job,EXPATRIATES,,https://www.expatriates.com/classifieds/,,,,,2026-07-13 16:56:11
53,i need job,EXPATRIATES,,https://www.expatriates.com/classifieds/,,,,,2026-07-13 16:56:12
